cities,lon,lat,population,province,province-population,capital
重庆市,106.55,29.57,3017.42,重庆市,3017.42,1
上海市,121.47,31.23,2301.91,上海市,2301.91,1
北京市,116.4,39.9,2300.24,北京市,2300.24,1
成都市,104.07,30.67,1404.76,四川省,8041.82,1
天津市,117.2,39.12,1293.82,天津市,1293.82,1
广州市,113.27,23.13,1270.08,广东省,10430.03,1
深圳市,114.05,22.55,1035.79,广东省,10430.03,
武汉市,114.3,30.6,910,湖北省,5723.77,1
南阳市,112.52,33,1026.3,河南省,9402.36,
临沂市,118.35,35.05,1003.94,山东省,9579.31,
石家庄市,114.52,38.05,1016.38,河北省,7185.42,1
哈尔滨市,126.53,45.8,1063.6,黑龙江省,3831.22,1
苏州市,120.58,31.3,1046.6,江苏省,7865.99,
保定市,115.47,38.87,1119.44,河北省,7185.42,
郑州市,113.62,34.75,1013.6,河南省,9402.36,1
西安市,108.93,34.27,1000.3,陕西省,3732.74,1
邯郸市,114.48,36.62,917.47,河北省,7185.42,
温州市,120.7,28,912.21,浙江省,5442,
潍坊市,119.15,36.7,908.62,山东省,9579.31,
周口市,114.65,33.62,895.32,河南省,9402.36,
青岛市,120.38,36.07,871.51,山东省,9579.31,
杭州市,120.15,30.28,870.04,浙江省,5442,1
徐州市,117.18,34.27,858.05,江苏省,7865.99,
赣州市,114.93,25.83,836.84,江西省,4456.74,
菏泽市,115,35,828.78,山东省,9579.31,
东莞市,113.75,23.05,822.02,广东省,10430.03,
泉州市,118.67,24.88,812.85,福建省,3552,
沈阳市,123.43,41.8,810.62,辽宁省,4374.63,1
济宁市,116.58,35.42,808.19,山东省,9579.31,
南京市,118.78,32.07,800.47,江苏省,7865.99,1
长春市,125.32,43.9,767.71,吉林省,2746.22,1
宁波市,121.55,29.88,760.57,浙江省,5442,
阜阳市,115.82,32.9,760,安徽省,5950.1,
唐山市,118.2,39.63,757.73,河北省,7185.42,
商丘市,115.65,34.45,736.25,河南省,9402.36,
南通市,120.88,31.98,728.28,江苏省,7865.99,
盐城市,120.15,33.35,726.02,江苏省,7865.99,
驻马店市,114.02,32.98,723.07,河南省,9402.36,
佛山市,113.12,23.02,719.43,广东省,10430.03,
衡阳市,112.57,26.9,714.15,湖南省,6568.37,
沧州市,116.83,38.3,713.41,河北省,7185.42,
福州市,119.3,26.08,711.54,福建省,3552,1
邢台市,114.48,37.07,710.41,河北省,7185.42,
邵阳市,111.47,27.25,707.18,湖南省,6568.37,
长沙市,112.93,28.23,704.41,湖南省,6568.37,1
湛江市,110.35,21.27,699.33,广东省,10430.03,
烟台市,121.43,37.45,696.82,山东省,9579.31,
济南市,116.98,36.67,681.4,山东省,9579.31,1
大连市,121.62,38.92,669.04,辽宁省,4374.63,
南宁市,108.37,22.82,666.16,广西壮族自治区,4602.66,1
黄冈市,114.87,30.45,616.21,湖北省,5723.77,
南充市,106.08,30.78,627.86,四川省,8041.82,
洛阳市,112.45,34.62,654.95,河南省,9402.36,
上饶市,117.97,28.45,657.97,江西省,4456.74,
昆明市,102.72,25.05,643.2,云南省,4596.6,1
毕节市,106,27,653.64,贵州省,3476.65,
无锡市,120.3,31.57,637.26,江苏省,7865.99,
曲靖市,103.8,25.5,585.5,云南省,4596.6,
信阳市,114.07,32.13,610.87,河南省,9402.36,
聊城市,115.98,36.45,578.99,山东省,9579.31,
遵义市,106.92,27.73,612.7,贵州省,3476.65,
茂名市,110.92,21.67,581.78,广东省,10430.03,
台州市,121.43,28.68,596.88,浙江省,5442,
揭阳市,116.37,23.55,587.7,广东省,10430.03,
常德市,111.68,29.05,571.72,湖南省,6568.37,
新乡市,113.9,35.3,570.78,河南省,9402.36,
合肥市,117.25,31.83,570.2,安徽省,5950.1,1
荆州市,112.23,30.33,569.17,湖北省,5723.77,
六安市,116.5,31.77,561.2,安徽省,5950.1,
德州市,116.3,37.45,556.82,山东省,9579.31,
襄阳市,112,32,550.03,湖北省,5723.77,
泰安市,117.08,36.2,549.42,山东省,9579.31,
玉林市,110.17,22.63,548.74,广西壮族自治区,4602.66,
岳阳市,113.12,29.37,547.79,湖南省,6568.37,
达州市,107.5,31.22,546.81,四川省,8041.82,
宜春市,114.38,27.8,541.96,江西省,4456.74,
绥化市,126.98,46.63,541.64,黑龙江省,3831.22,
汕头市,116.68,23.35,539.1,广东省,10430.03,
齐齐哈尔市,123.95,47.33,536.7,黑龙江省,3831.22,
金华市,119.65,29.08,536.16,浙江省,5442,
宿州市,116.98,33.63,535.3,安徽省,5950.1,
安庆市,117.05,30.53,531.1,安徽省,5950.1,
渭南市,109.5,34.5,528.61,陕西省,3732.74,
昭通市,103.72,27.33,521.3,云南省,4596.6,
永州市,111.62,26.43,518.02,湖南省,6568.37,
安阳市,114.38,36.1,517.28,河南省,9402.36,
运城市,110.98,35.02,513.48,山西省,3571.21,
南昌市,115.85,28.68,504.26,江西省,4456.74,1
绍兴市,120.57,30,491.22,浙江省,5442,
平顶山市,113.18,33.77,490.44,河南省,9402.36,
咸阳市,108.7,34.33,489.48,陕西省,3732.74,
亳州市,115.78,33.85,485.1,安徽省,5950.1,
孝感市,113.92,30.93,481.45,湖北省,5723.77,
吉安市,114.98,27.12,481.03,江西省,4456.74,
漳州市,117.65,24.52,481,福建省,3552,
淮安市,119.02,33.62,479.99,江苏省,7865.99,
桂林市,110.28,25.28,474.8,广西壮族自治区,4602.66,
怀化市,110,27.57,474.19,湖南省,6568.37,
九江市,116,29.7,472.88,江西省,4456.74,
宿迁市,118.28,33.97,471.56,江苏省,7865.99,
贵阳市,106.63,26.65,488,贵州省,3476.65,1
太原市,112,38,442.15,山西省,3571.21,1
